goal,pledged,backers_count,campaign_length,decision_timing,spotlight,staff_pick,usd_pledged,Blurb length,Blurb caps,Name Length,Name Caps,created_at,deadline,launched_at,fx_rate,static_usd_rate,state_changed_at,name,country,blurb,category,Category,Category (parent only)
2500,2521.32,32,2592000,2592000,TRUE,TRUE,1730.1405500364,45,1,13,3,1573436675,1576116453,1573524453,0.72636675,0.68620427,1576116453,Duo Log Vinyl,AU,Help fund the vinyl release of our next album,"{""id"":40,""name"":""Indie Rock"",""slug"":""music/indie rock"",""position"":9,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/indie%20rock""}}}","music/indie rock""",music
1500,3570,78,1814400,1814400,TRUE,FALSE,3570.0,122,9,43,5,1499711920,1505170628,1503356228,1,1,1505170628,Steampunk Haunted House: Halloween Forever!,US,The Steampunk World's Fair teams up with Blackthorne Resort to make their handmade Haunted House into a Steampunk delight!,"{""id"":283,""name"":""Immersive"",""slug"":""theater/immersive"",""position"":4,""parent_id"":17,""parent_name"":""Theater"",""color"":16743775,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/theater/immersive""}}}","theater/immersive""",theater
200,216,10,1820368,1820368,TRUE,FALSE,216.0,47,4,54,5,1552248016,1554156000,1552335632,1,1,1554156000,Help Isaiah William order CDs for their upcoming album,US,Funding the CDs for our upcoming Worship album.,"{""id"":318,""name"":""Faith"",""slug"":""music/faith"",""position"":7,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/faith""}}}","music/faith""",music
7000,7222.33,69,2592000,2592001,TRUE,FALSE,7222.33,134,8,27,5,1397625867,1405933526,1403341526,1,1,1405933527,The Big Ask for Beach Dance,US,"Beach Dance wants to go H2O! With waterproof iPods & headphones, this event/experience on Maui will take dance into & under the water.","{""id"":6,""name"":""Dance"",""slug"":""dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance""}}}","dance""",dance
5000,6975,67,2592000,2592000,TRUE,TRUE,5571.5935905,121,8,48,3,1503108857,1507449596,1504857596,0.72636675,0.79879478,1507449596,'52' Linen bound book of poetry and watercolours,AU,"With a beautiful design layout by Hello Hello Studio, '52' contains a poem for each week of the year and 32 watercolours.","{""id"":50,""name"":""Poetry"",""slug"":""publishing/poetry"",""position"":12,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/poetry""}}}","publishing/poetry""",publishing
500,2389,38,2595600,2595600,TRUE,TRUE,2389.0,121,3,15,3,1476219615,1479756451,1477160851,1,1,1479756451,Pen.Paint.Paper,US,"I illustrate. I draw my inspiration from nature, solitude, and the sky. I try to illustrate the gentler emotions in life.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
15000,15950.17,30,1814400,1814400,TRUE,FALSE,2380.1566216701,61,5,30,5,1528449048,1581069369,1579254969,0.15799139,0.14922453,1581069369,Boys From Heaven - Debut Album,DK,Debut album from Copenhagen-based rock band Boys From Heaven.,"{""id"":43,""name"":""Rock"",""slug"":""music/rock"",""position"":17,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/rock""}}}","music/rock""",music
15000,16308,128,2567570,2567570,TRUE,FALSE,20492.94656592,111,3,47,32,1592487943,1597788000,1595220430,1.29135567,1.25661924,1597788000,FRANKI RYKER: LUXURY UNIQUE JEWELLERY (jewelry),GB,"Interchangeable, eclectic and personalised pieces, inspired by nature. Unique in quality. Unstoppable in style.","{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}","design/product design""",design
1000,1000,9,5184000,5184050,TRUE,FALSE,1000.0,134,9,60,4,1427337772,1432736064,1427552064,1,1,1432736114,Boundaries: an exhibition of new work by Sarah Kaiser-Amaral,US,"I'm putting together a solo show of my new paintings, and it will open on July 11th, 2015. I am trying to raise money to publicize it.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
745,1395,29,2182902,2182903,TRUE,FALSE,1395.0,128,1,17,2,1464666850,1467773100,1465590198,1,1,1467773101,Becoming the Boss,US,"A young girl's journey of personal growth, both inspiring and intimate, written by a teen for other teens who want to shine big.","{""id"":328,""name"":""Young Adult"",""slug"":""publishing/young adult"",""position"":15,""parent_id"":18,""parent_name"":""Publishing"",""color"":14867664,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/publishing/young%20adult""}}}","publishing/young adult""",publishing
2000,2143,35,864000,864000,TRUE,TRUE,2143.0,135,1,36,5,1440781886,1444049247,1443185247,1,1,1444049247,"""Field of Screams"" Short Horror Film",US,"A woman tries to sell the baseball field she inherited from her parents at a young age, but the team isn’t ready to let it, or her, go…","{""id"":297,""name"":""Horror"",""slug"":""film & video/horror"",""position"":10,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/horror""}}}","film & video/horror""",film & video
500,833,15,2678393,2678394,TRUE,FALSE,833.0,58,1,28,6,1546298748,1549912260,1547233867,1,1,1549912261,Make 100: Animals in Acrylic,US,A collection of animals painted onto a full moon backdrop.,"{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
2100,16988.32,216,3196800,3196800,TRUE,FALSE,11173.218403766400,135,2,47,5,1581470502,1587119057,1583922257,0.72636675,0.65770002,1587119057,Final Bowl: Pocketable-Collapsible Container 🥣,AU,"Lightweight containers, microwave and freezer safe. Armed for your on-the-go lifestyle, and against our bout with single use plastic ♻️","{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}","design/product design""",design
7000,7156,68,5184000,5184000,TRUE,FALSE,7156.0,44,7,21,3,1544420991,1558282405,1553098405,1,1,1558282405,Camille Rae Comeback!,US,A Country/Americana EP of 5-7 original songs,"{""id"":14,""name"":""Music"",""slug"":""music"",""position"":11,""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music""}}}","music""",music
8000,9222,92,2915878,2915879,TRUE,FALSE,11724.84379128,124,1,59,9,1551786963,1561806000,1558890122,1.29135567,1.27139924,1561806001,Tales Of The Creeping Death (Feature Film) Horror Anthology,GB,A horror/sci-fi feature film containing four short stories with a fifth to link them together to create a genre busting epic,"{""id"":297,""name"":""Horror"",""slug"":""film & video/horror"",""position"":10,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/horror""}}}","film & video/horror""",film & video
1500,1925.37,42,3456000,3456001,TRUE,FALSE,1925.37,129,7,46,11,1304401839,1310330603,1306874603,1,1,1310330604,The Black Rock Roller Disco - Burning Man 2011,US,The Roller Disco brings great joy to thousands who come to Burning Man. Last year rain destroyed the floor.  We're rebuilding it.,"{""id"":20,""name"":""Conceptual Art"",""slug"":""art/conceptual art"",""position"":2,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/conceptual%20art""}}}","art/conceptual art""",art
1000,3078,78,2642443,2642443,TRUE,FALSE,3078.0,133,13,55,9,1461949989,1466056740,1463414297,1,1,1466056740,"Dragons of the Earth, Sea, Sky and Stars: A Calendar II",US,"Dragons of the Earth, Sea, Sky, and Stars: a Calendar take 2! Featuring dragon watercolor art by Carla Morrow from DragonLady Studio.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
4000,4819,64,2636764,2636822,TRUE,FALSE,4819.0,96,13,19,3,1349329778,1369371600,1366734836,1,1,1369371658,The Puzzle Painting,US,Get a piece of The Puzzle Painting! How big this painting gets is up to YOU! Let's make it HUGE!,"{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
40000,47450.450000000000,1110,2592000,2592001,TRUE,FALSE,47450.450000000000,130,7,57,10,1344823527,1347575189,1344983189,1,1,1347575190,A One Year Student Reporting Lab within Homicide Watch DC,US,Change the way crime is covered. Create a reporting lab within Homicide Watch DC to cover every murder in Washington for one year.,"{""id"":13,""name"":""Journalism"",""slug"":""journalism"",""position"":10,""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism""}}}","journalism""",journalism
20000,95399,3297,3459600,3459600,TRUE,FALSE,95399.0,87,7,56,9,1411591844,1417064802,1413605202,1,1,1417064802,IllumiBowl Clip-On Toilet Night Light (Motion Activated),US,Set to any single color or color-changing. Worlds Coolest Motion Activated Night Light.,"{""id"":337,""name"":""Gadgets"",""slug"":""technology/gadgets"",""position"":7,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/gadgets""}}}","technology/gadgets""",technology
2000,2209.5,30,5184000,5184000,TRUE,FALSE,2209.5,97,1,42,8,1553867677,1560271822,1555087822,1,1,1560271822,"Debut EP ""Just Maybe"", by Tristan McCoppin",US,"Great musicians and an amazing producer which will lead to an amazing product, done very cheaply.","{""id"":14,""name"":""Music"",""slug"":""music"",""position"":11,""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music""}}}","music""",music
1500,3694,41,2592000,2592000,TRUE,TRUE,3694.0,129,3,43,6,1424976826,1428602091,1426010091,1,1,1428602091,Gelsey Kirkland Ballet Presents Don Quixote,US,"Help us continue to produce the next generation of great ballet dancers by supporting our newest full length ballet, Don Quixote.","{""id"":6,""name"":""Dance"",""slug"":""dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance""}}}","dance""",dance
15000,17305.5,140,2592000,2592001,TRUE,FALSE,17305.5,83,1,43,6,1558728315,1565880796,1563288796,1,1,1565880797,Outside Worship — album and O.W.L.S. launch,US,"Songs for worship, and a big dream for a worship leading and songwriting community.","{""id"":318,""name"":""Faith"",""slug"":""music/faith"",""position"":7,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/faith""}}}","music/faith""",music
8500,21714,62,2315918,2315918,TRUE,TRUE,2943.97348014,135,2,17,3,1414984762,1417669860,1415353942,0.1129236,0.13557951,1417669860,Din Nästa Mardröm,SE,"En bilderbok med illustrationer från din nästa mardröm. Akvareller som skaver och gör att du vaknar mitt i natten, skrikande av skräck.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
500,578,15,3888000,3888000,TRUE,FALSE,578.0,120,3,43,14,1358200682,1362283993,1358395993,1,1,1362283993,Inconceivable (FRC 2530): Build Season 2013,US,High School students build fully functional robots in 6 weeks to compete and spark interest for science and engineering.,"{""id"":338,""name"":""Robots"",""slug"":""technology/robots"",""position"":10,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/robots""}}}","technology/robots""",technology
25000,25589,176,2592000,2592001,TRUE,FALSE,25589.0,131,5,19,3,1446506328,1460818867,1458226867,1,1,1460818868,Grail Point Brewery,US,"Grail Point Brewery is a DC area, small batch craft brewery that needs fellow brew believers to join us on our noble ale adventure.","{""id"":307,""name"":""Drinks"",""slug"":""food/drinks"",""position"":4,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/drinks""}}}","food/drinks""",food
1,1.29,1,5187600,5187601,TRUE,FALSE,0.973678971,48,0,27,0,1567571195,1575256466,1570068866,0.75574365,0.7547899,1575256467,"aleaf, and a drop of beauty",CA,"a laundry machine that washes, dries, and folds.","{""id"":338,""name"":""Robots"",""slug"":""technology/robots"",""position"":10,""parent_id"":16,""parent_name"":""Technology"",""color"":6526716,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/technology/robots""}}}","technology/robots""",technology
1000,7349.32,100,2592000,2592000,TRUE,FALSE,5044.9141829548,129,6,59,9,1577063781,1582339566,1579747566,0.72636675,0.68644639,1582339566,🌱Zero Maintenance Plant 💧Aqua Terrarium 🌳DIY Aquascape ⛰,AU,DIY home decor inspired by the Japanese art of Aquascaping \\\\ Water plants you can't drown for those with plant killing habits.,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}","design/product design""",design
77500,623567,260,2592000,2592001,TRUE,FALSE,80456.156200560000,85,1,60,19,1592530930,1596027605,1593435605,0.1290281,0.12902568,1596027606,OLTO-8 INFINITY-Exclusive Design Watch for The Up-and-Coming,HK,The innovative mechanical watch with a sleek design for the young and success-driven!,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}","design/product design""",design
35000,35249,121,2588400,2588403,TRUE,FALSE,35249.0,132,1,54,1,1422503569,1426315892,1423727492,1,1,1426315895,Experience the cultures of the world in homes near you,US,"Immigrant neighbors will serve as ambassadors of their own stories, told in their own homes to paying guests over home-cooked meals.","{""id"":361,""name"":""Web"",""slug"":""journalism/web"",""position"":5,""parent_id"":13,""parent_name"":""Journalism"",""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism/web""}}}","journalism/web""",journalism
9500,30381,574,2728706,2728706,TRUE,TRUE,30381.0,128,2,60,10,1473295457,1478307600,1475578894,1,1,1478307600,"BIG SCHOOL: Huge, maniacal drawing for print & coloring book",US,"Art print and coloring book of a massive 6-foot-wide hand-drawn school loaded with clever gags, secret surprises and pink donuts","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
795,931,26,3963812,3964128,TRUE,FALSE,931.0,136,5,79,10,1277576301,1281917400,1277953588,1,1,1281917716,"The Way Place - a Refuge of Light, Color and Shade for Travelers at Burning Man",US,"The Way Place - a refuge of light, color and shade on the desert for Metropolitan travelers as the wend their way across the deep Playa.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
2500,2500,14,7606551,7606640,TRUE,FALSE,2500.0,150,8,80,6,1267019712,1274720340,1267113789,1,1,1274720429,"""When Land Meets the Sea"" - a book of paintings by Cathy Harville, nature artist",US,"Cathy Harville is writing a book that features her paintings, called  “When Land Meets the Sea"" –a pictorial story of our East Coast tidal ecosystems.","{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
500,2555,121,838377,838377,TRUE,FALSE,2555.0,134,5,56,6,1597687697,1598684400,1597846023,1.376715,1,1598684400,Show some <3 to your Postal Workers with a Mailbox Badge,US,Show some love to your favorite United States Postal Workers by attaching this plastic/wood heart badge to your mailbox or front door.,"{""id"":7,""name"":""Design"",""slug"":""design"",""position"":5,""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design""}}}","design""",design
2000,2401,86,2592000,2592046,TRUE,FALSE,2401.0,135,12,45,6,1407547190,1413245666,1410653666,1,1,1413245712,The High Country Roasters Kickstarter Project,US,"New coffee roaster costs $4000.  If 200 friends pledge $10, we'll pay the rest. We'll send you a lb of great free-trade organic coffee.","{""id"":307,""name"":""Drinks"",""slug"":""food/drinks"",""position"":4,""parent_id"":10,""parent_name"":""Food"",""color"":16725570,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/food/drinks""}}}","food/drinks""",food
500,1411,83,3888000,3888000,TRUE,FALSE,1411.0,44,5,20,4,1567877377,1572027120,1568139120,1,1,1572027120,Swing For The Fences,US,My debut comedy album “Swing For The Fences”,"{""id"":386,""name"":""Comedy"",""slug"":""music/comedy"",""position"":4,""parent_id"":14,""parent_name"":""Music"",""color"":10878931,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/music/comedy""}}}","music/comedy""",music
5000,5581,15,2416340,2416340,TRUE,FALSE,5581.0,82,2,53,7,1548036935,1551416340,1549000000,1,1,1551416340,Kickstarting My African American Folk Art Corporation,US,Help me to start my art company and be the first to own my T-shirts and tote bags!,"{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
10000,10095,145,1576269,1576271,TRUE,FALSE,10095.0,121,1,10,2,1360956817,1364682120,1363105851,1,1,1364682122,The Garden,US,"A highly immersive, always shifting journey that invites the audience to navigate the terrain of a dance from the inside.","{""id"":6,""name"":""Dance"",""slug"":""dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance""}}}","dance""",dance
20000,20001.5,27,1577858,1577858,TRUE,FALSE,15815.8383,108,4,26,6,1500144960,1501909200,1500331342,0.75574365,0.79073261,1501909200,TDC: Taryn's Dance Company,CA,"At Taryn's Dance Company, we strive for technical excellence as well as a growing and nurturing environment.","{""id"":6,""name"":""Dance"",""slug"":""dance"",""position"":4,""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance""}}}","dance""",dance
7250,9792,158,2808761,2808761,TRUE,TRUE,9792.0,86,3,23,6,1413158666,1419227940,1416419179,1,1,1419227940,"""7786 - Burroughs, Wm.""",US,An intimate look at William Burroughs through a series of seven unpublished portraits.,"{""id"":276,""name"":""Fine Art"",""slug"":""photography/fine art"",""position"":2,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/fine%20art""}}}","photography/fine art""",photography
2888,2888,20,3891600,3891600,TRUE,FALSE,2888.0,118,1,21,9,1468362712,1481345126,1477453526,1,1,1481345126,JDI 2017 - Sandy Choi,US,"A new kind of dance competition based on doing what you love, supporting our community and gaining beneficial rewards.","{""id"":254,""name"":""Performances"",""slug"":""dance/performances"",""position"":1,""parent_id"":6,""parent_name"":""Dance"",""color"":10917369,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/dance/performances""}}}","dance/performances""",dance
5500,7200,88,2160000,2160001,TRUE,FALSE,7200.0,112,1,56,3,1438906619,1442715187,1440555187,1,1,1442715188,The Phages: A horror short film that's tough to swallow.,US,"A young couple makes their living flipping haunted houses, but they may have bitten off more than they can chew!","{""id"":297,""name"":""Horror"",""slug"":""film & video/horror"",""position"":10,""parent_id"":11,""parent_name"":""Film & Video"",""color"":16734574,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/film%20&%20video/horror""}}}","film & video/horror""",film & video
500,1315,23,1814400,1814400,TRUE,FALSE,1315.0,69,11,38,8,1346940308,1349134405,1347320005,1,1,1349134405,50 Ink Paintings of Animals in 50 Days,US,A Photo Book of 50 new Ink Paintings of Animals in created in 50 Days,"{""id"":23,""name"":""Painting"",""slug"":""art/painting"",""position"":7,""parent_id"":1,""parent_name"":""Art"",""color"":16760235,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/art/painting""}}}","art/painting""",art
1500,1666,20,1954592,1954592,TRUE,FALSE,1666.0,43,6,28,3,1542118471,1545371940,1543417348,1,1,1545371940,Photographs by Andrew Morris,US,Receive an Original Print of Your Very Own.,"{""id"":276,""name"":""Fine Art"",""slug"":""photography/fine art"",""position"":2,""parent_id"":15,""parent_name"":""Photography"",""color"":58341,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/photography/fine%20art""}}}","photography/fine art""",photography
42000,128443,240,3020400,3020400,TRUE,FALSE,140169.58772957000,73,1,51,7,1581771111,1585951205,1582930805,1.1753395,1.09129799,1585951205,Beaubleu Watches - A New Perception of Time - Paris,FR,The first circular hand automatic watch collection for both men and women,"{""id"":28,""name"":""Product Design"",""slug"":""design/product design"",""position"":5,""parent_id"":7,""parent_name"":""Design"",""color"":2577151,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/design/product%20design""}}}","design/product design""",design
600,3013,29,2592000,2592003,TRUE,FALSE,3013.0,135,8,55,9,1332016680,1336967359,1334375359,1,1,1336967362,8Limbs.Us: Founding a Female Muay Thai Website and Blog,US,8Limbs.Us records my experiences as a female training in Muay Thai in Thailand for a year & serves as a nexus for female MT in general.,"{""id"":13,""name"":""Journalism"",""slug"":""journalism"",""position"":10,""color"":1228010,""urls"":{""web"":{""discover"":""http://www.kickstarter.com/discover/categories/journalism""}}}","journalism""",journalism
